window,batch,lr,hidden,dropout,r2,rmse,accuracy
40,64,0.0001,128,0.3,-0.06529247760772705,0.011441823098692221,45.67901234567901
40,64,0.0001,256,0.2,-0.06626474857330322,0.01144704335615564,47.53086419753087
20,64,0.0001,64,0.5,-0.0663750171661377,0.011228808119564438,41.75824175824176
30,128,0.0001,64,0.5,-0.0667581558227539,0.01136097671369614,44.18604651162791
20,128,0.0001,256,0.2,-0.06719481945037842,0.011233122786715063,39.010989010989015
20,32,0.001,256,0.3,-0.06860768795013428,0.011240556840306181,43.956043956043956
40,128,0.0001,64,0.3,-0.06901192665100098,0.011461780229571892,45.06172839506173
40,128,0.0001,256,0.3,-0.06953775882720947,0.01146459903732068,50.0
40,32,0.001,64,0.3,-0.07015061378479004,0.011467882858132144,48.148148148148145
30,32,0.001,128,0.2,-0.07038438320159912,0.011380270062050217,40.116279069767444
30,64,0.0005,64,0.2,-0.07305693626403809,0.01139446880488078,45.348837209302324
40,64,0.001,256,0.2,-0.07374179363250732,0.011487108762995454,38.888888888888886
20,64,0.0005,64,0.2,-0.07431387901306152,0.011270528074487108,42.857142857142854
20,32,0.0001,128,0.5,-0.07458078861236572,0.01127192823708226,50.54945054945055
20,128,0.001,128,0.2,-0.07497060298919678,0.011273972329993569,42.857142857142854
40,64,0.0001,128,0.2,-0.0753713846206665,0.011495822336408116,45.06172839506173
30,64,0.001,64,0.3,-0.07538998126983643,0.01140684870579956,50.58139534883721
40,128,0.001,64,0.5,-0.07797408103942871,0.011509724920043225,42.592592592592595
40,32,0.0005,256,0.2,-0.07899534702301025,0.011515175986666843,47.53086419753087
30,64,0.0001,128,0.2,-0.08040416240692139,0.011433410746351543,46.51162790697674
20,128,0.0005,256,0.3,-0.0807420015335083,0.011304196106321744,42.30769230769231
40,128,0.0001,128,0.5,-0.0811682939529419,0.011526765383240194,43.20987654320987
20,128,0.001,64,0.5,-0.08168566226959229,0.011309130545543755,43.956043956043956
40,128,0.001,64,0.2,-0.08331239223480225,0.011538188643690536,45.06172839506173
20,64,0.001,256,0.2,-0.08358550071716309,0.011319057251362228,43.956043956043956
30,64,0.001,64,0.5,-0.08505582809448242,0.01145799745680171,41.86046511627907
30,32,0.0005,256,0.3,-0.0861579179763794,0.011463815223180598,40.69767441860465
30,32,0.0005,128,0.3,-0.08630073070526123,0.011464569208937531,47.674418604651166
20,64,0.0001,256,0.3,-0.08696901798248291,0.011336715499344337,39.56043956043956
20,32,0.0001,256,0.5,-0.08818793296813965,0.011343070152365974,39.010989010989015
40,64,0.0005,64,0.3,-0.08824515342712402,0.011564428254867275,51.851851851851855
40,32,0.0005,64,0.2,-0.08839821815490723,0.011565241739296366,50.617283950617285
20,64,0.0005,64,0.3,-0.0892719030380249,0.011348718595102591,40.10989010989011
40,64,0.0005,256,0.3,-0.09207463264465332,0.011584758277684225,39.50617283950617
20,128,0.0001,256,0.5,-0.09338128566741943,0.011370104997245507,48.35164835164835
30,32,0.001,128,0.3,-0.0935131311416626,0.011502564774820145,42.44186046511628
20,32,0.0001,256,0.2,-0.09453976154327393,0.01137612760909208,45.604395604395606
40,32,0.0001,64,0.3,-0.09883594512939453,0.01162056470916959,46.2962962962963
20,32,0.0001,64,0.3,-0.10169768333435059,0.011413265035388817,47.8021978021978
30,64,0.0001,128,0.3,-0.10182642936706543,0.011546205802568377,44.76744186046512
40,64,0.0001,256,0.3,-0.10369384288787842,0.01164622327118287,45.06172839506173
30,64,0.0005,256,0.3,-0.10502398014068604,0.011562947100697338,46.51162790697674
20,64,0.0001,128,0.2,-0.11154580116271973,0.0114641630274858,35.714285714285715
30,128,0.0005,256,0.3,-0.11177623271942139,0.011598221149391453,43.02325581395349
40,32,0.0001,256,0.5,-0.11513102054595947,0.011706410308818145,40.74074074074074
40,32,0.001,256,0.5,-0.1155710220336914,0.011708719088076079,48.76543209876543
30,128,0.0001,256,0.3,-0.11800706386566162,0.011630676655050746,40.69767441860465
30,64,0.001,128,0.2,-0.1188206672668457,0.011634907331343345,41.27906976744186
40,128,0.0005,256,0.2,-0.12047815322875977,0.01173444345311575,40.74074074074074
20,128,0.001,64,0.2,-0.12218284606933594,0.0115188862917404,37.91208791208791
30,64,0.0005,128,0.2,-0.12993907928466797,0.01169257606193557,43.02325581395349
40,64,0.001,128,0.3,-0.13035345077514648,0.011786040438954518,40.74074074074074
20,128,0.0005,64,0.5,-0.13110387325286865,0.011564581141458304,36.26373626373626
30,64,0.001,256,0.2,-0.13247382640838623,0.011705683088892613,42.44186046511628
20,64,0.0005,256,0.2,-0.13344156742095947,0.011576525843582602,36.81318681318681
30,128,0.0005,64,0.3,-0.13562417030334473,0.011721953932557217,39.53488372093023
30,128,0.001,64,0.5,-0.1388791799545288,0.01173874086223621,47.674418604651166
30,64,0.0005,64,0.3,-0.1392369270324707,0.011740584075190777,46.51162790697674
20,32,0.0005,128,0.5,-0.1421058177947998,0.011620688055674573,36.81318681318681
20,32,0.001,256,0.5,-0.14245522022247314,0.011622465477454902,37.91208791208791
30,32,0.001,64,0.3,-0.14300501346588135,0.011759984095683464,37.2093023255814
20,128,0.0005,64,0.2,-0.14371824264526367,0.011628887974725034,38.46153846153846
20,64,0.0001,128,0.5,-0.15092480182647705,0.011665467735021034,35.714285714285715
20,64,0.001,64,0.2,-0.15177512168884277,0.011669776204329265,35.16483516483517
30,32,0.0001,256,0.3,-0.152518630027771,0.011808824693124746,36.627906976744185
40,128,0.0001,128,0.3,-0.1603546142578125,0.011941425250900558,38.27160493827161
30,64,0.0005,128,0.3,-0.1604369878768921,0.011849321061890338,36.04651162790697
30,128,0.0001,128,0.2,-0.1617799997329712,0.011856175450506707,42.44186046511628
40,128,0.001,128,0.2,-0.168815016746521,0.011984879734986154,38.27160493827161
40,128,0.0001,128,0.2,-0.1701129674911499,0.011991532861015524,43.20987654320987
30,32,0.0001,128,0.3,-0.17186987400054932,0.011907549254203476,38.95348837209303
40,64,0.0001,64,0.3,-0.17261505126953125,0.012004346809618196,43.20987654320987
20,128,0.0005,256,0.5,-0.17526304721832275,0.01178816512103929,36.81318681318681
40,64,0.001,256,0.3,-0.1767655611038208,0.012025572814060045,35.80246913580247
30,32,0.0001,256,0.2,-0.17743968963623047,0.01193581346148735,34.30232558139535
20,64,0.0001,64,0.2,-0.17976844310760498,0.01181073890294622,42.30769230769231
20,32,0.001,64,0.2,-0.18080997467041016,0.01181595073365786,34.61538461538461
40,64,0.0001,128,0.5,-0.18168902397155762,0.012050703530895625,41.97530864197531
40,64,0.0005,64,0.5,-0.1928175687789917,0.012107314282474765,35.80246913580247
30,64,0.001,64,0.2,-0.19361186027526855,0.012017503102580013,33.72093023255814
40,128,0.0005,64,0.3,-0.20427823066711426,0.012165338723192008,45.06172839506173
20,64,0.0005,128,0.2,-0.20776796340942383,0.011950069363973016,34.065934065934066
30,128,0.001,128,0.5,-0.2089787721633911,0.01209461423862555,32.55813953488372
40,128,0.0001,64,0.2,-0.21146082878112793,0.012201563087244273,45.06172839506173
20,128,0.0001,64,0.2,-0.22256755828857422,0.01202306284446242,32.417582417582416
20,128,0.001,64,0.3,-0.22969400882720947,0.012058053502173397,34.61538461538461
20,128,0.0001,128,0.2,-0.2513844966888428,0.01216393432870462,30.76923076923077
40,64,0.001,64,0.3,-0.25524044036865234,0.012420076103718085,34.5679012345679
20,128,0.0001,128,0.5,-0.2604743242263794,0.012208031970966695,32.967032967032964
40,128,0.0001,256,0.5,-0.2695988416671753,0.012490909174555512,32.71604938271605
20,32,0.0001,64,0.2,-0.2726396322250366,0.012266803078582593,37.91208791208791
40,128,0.0001,256,0.2,-0.2777564525604248,0.012530974525187885,32.098765432098766
30,64,0.0001,128,0.5,-0.2840135097503662,0.012464288506488836,30.232558139534884
30,64,0.0001,256,0.5,-0.2921431064605713,0.012503683862403747,26.74418604651163
40,32,0.0001,64,0.2,-0.2937772274017334,0.012609287786137837,29.62962962962963
30,32,0.0005,128,0.2,-0.29574859142303467,0.01252111664339755,26.74418604651163
40,64,0.0005,64,0.2,-0.3127533197402954,0.012701422798121932,28.395061728395063
30,128,0.0001,128,0.5,-0.3414853811264038,0.012740183129924667,30.232558139534884
40,32,0.0005,64,0.3,-0.34743940830230713,0.012868129091402747,29.012345679012345
30,64,0.0001,64,0.3,-0.34902048110961914,0.012775913205128997,34.30232558139535
30,64,0.0001,256,0.2,-0.35707247257232666,0.012813984897350575,32.55813953488372
40,32,0.0001,128,0.3,-0.37299227714538574,0.012989571850515748,30.246913580246915
20,64,0.001,128,0.2,-0.37718522548675537,0.012760710312463482,27.47252747252747
20,32,0.001,128,0.2,-0.4015003442764282,0.01287286704330215,23.076923076923077
30,128,0.0005,64,0.2,-0.40200984477996826,0.013024415017783165,30.813953488372093
30,64,0.0005,64,0.5,-0.402083158493042,0.013024755225025525,26.162790697674417
20,64,0.0001,128,0.3,-0.4089473485946655,0.012907021856383937,27.47252747252747
30,64,0.001,128,0.3,-0.4106062650680542,0.01306428389925118,30.813953488372093
30,128,0.0001,256,0.5,-0.4177889823913574,0.013097502385172025,38.372093023255815
40,128,0.001,256,0.2,-0.4292902946472168,0.013253208097814302,25.308641975308642
40,64,0.001,64,0.2,-0.47406935691833496,0.013459215864924861,20.37037037037037
30,32,0.0001,128,0.5,-0.48560142517089844,0.013407068714231266,22.674418604651162
